contract_address,name
'0xb3e808e102ac4be070ee3daac70672ffc7c1adca','Element'
'0x5e06c349a4a1b8dde8da31e0f167d1cb1d99967c','Dew'
'0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad','Uniswap'
