
'xToken Terminal / Gamma Strategies','xToken'
'Rainbow Wallet','Rainbow'
'Karma 1','Karma'
'Karma 2','Karma'
'Safe','Gnosis Safe'
'Okex','OKX'
'Overtime Markets','Thales'
'Quests on Coinbase Wallet - Quest #1 DEX Swap','Quests on Coinbase Wallet'
'Quests on Coinbase Wallet - Quest #2 Delegation','Quests on Coinbase Wallet'
'Uniswap V3','Uniswap'
'SushiSwap','Sushi'
'Karma delegate registry','Karma'
'Rabbit Hole',"'Rabbithole'
        
 a proposal_name",project_name
