contract_address,project_id,project_id_base_value,collection_name,artist_name,art_collection_unique_id
'0xbb5471c292065d3b01b2e81e299267221ae9a250',0,1000000,'Hypertype','Mark Webster','0xbb5471c292065d3b01b2e81e299267221ae9a250-0'
'0xbb5471c292065d3b01b2e81e299267221ae9a250',1,1000000,'Corral','Phaust','0xbb5471c292065d3b01b2e81e299267221ae9a250-1'
